state,county,city,year,date,hour,minute,deaths,lat,lng
TEXAS,DALLAS,DALLAS,2018,2018-1-3,21,21,1,32.75345833,-96.7644
TEXAS,DALLAS,DALLAS,2017,2017-10-19,1,40,1,32.88713333,-96.76983056
TEXAS,DALLAS,DALLAS,2017,2017-3-10,6,10,2,32.7077,-96.80343333
TEXAS,DALLAS,DALLAS,2013,2013-5-5,20,30,1,32.86361667,-96.67108611
TEXAS,DALLAS,DALLAS,2018,2018-3-18,21,30,1,32.82035,-96.8699
TEXAS,DALLAS,DALLAS,2018,2018-9-22,9,10,1,32.65512778,-96.8807
TEXAS,TARRANT,FORT WORTH,2017,2017-7-15,22,50,1,32.723825,-97.45508056
TEXAS,DALLAS,DALLAS,2016,2016-6-21,9,41,1,32.64667222,-96.84016389
TEXAS,DALLAS,DALLAS,2018,2018-11-21,19,9,1,32.7662,-96.7245
TEXAS,DALLAS,DALLAS,2012,2012-11-8,19,1,1,32.71310556,-96.69314444
TEXAS,DALLAS,DALLAS,2018,2018-12-29,23,5,1,32.92477778,-96.7862
TEXAS,TARRANT,FORT WORTH,2017,2017-8-13,0,6,1,32.70968056,-97.331575
TEXAS,TARRANT,FORT WORTH,2013,2013-11-17,2,50,1,32.71874444,-97.32044167
TEXAS,TARRANT,FORT WORTH,2017,2017-6-6,17,32,2,32.82236389,-97.08236389
TEXAS,DALLAS,DALLAS,2015,2015-3-31,7,28,1,32.778125,-96.69433611
TEXAS,DALLAS,DALLAS,2016,2016-9-1,23,25,1,32.66195556,-96.89606667
TEXAS,DALLAS,DALLAS,2013,2013-9-30,23,30,1,32.78381111,-96.81178056
TEXAS,DALLAS,DALLAS,2013,2013-11-22,7,30,1,32.86353333,-96.84577222
TEXAS,TARRANT,FORT WORTH,2015,2015-4-11,21,45,1,32.70184444,-97.35332778
TEXAS,TARRANT,FORT WORTH,2013,2013-2-13,20,8,1,32.724425,-97.46727778
TEXAS,DALLAS,DALLAS,2018,2018-1-1,5,19,1,32.81616944,-96.9
TEXAS,DALLAS,DALLAS,2014,2014-7-30,4,4,1,32.64226944,-96.81948889
TEXAS,DALLAS,DALLAS,2013,2013-6-28,21,35,1,32.83558611,-96.67247778
TEXAS,TARRANT,FORT WORTH,2017,2017-1-9,8,41,1,32.70596944,-97.34386667
TEXAS,DALLAS,DALLAS,2016,2016-10-2,7,9,1,32.950075,-96.79846667
TEXAS,DALLAS,DALLAS,2018,2018-6-26,22,38,1,32.67674167,-96.7545
TEXAS,DALLAS,DALLAS,2012,2012-9-27,16,25,1,32.64581389,-96.85366111
TEXAS,TARRANT,FORT WORTH,2012,2012-10-14,3,17,1,32.75265278,-97.27344444
TEXAS,TARRANT,FORT WORTH,2015,2015-4-8,1,33,1,32.77355833,-97.31923333
TEXAS,DALLAS,DALLAS,2013,2013-4-6,15,3,1,32.78626111,-96.80545833
TEXAS,DALLAS,DALLAS,2018,2018-2-15,18,40,1,32.82578611,-96.8548
TEXAS,TARRANT,FORT WORTH,2013,2013-11-2,1,15,1,32.72740556,-97.44096389
TEXAS,TARRANT,FORT WORTH,2018,2018-12-8,18,17,2,32.73500278,-97.225
TEXAS,DALLAS,DALLAS,2012,2012-1-21,18,44,1,32.693325,-96.77468889
TEXAS,DALLAS,DALLAS,2014,2014-3-25,19,8,1,32.80181944,-96.71398333
TEXAS,TARRANT,FORT WORTH,2017,2017-10-3,13,28,1,32.71991667,-97.28887222
TEXAS,TARRANT,FORT WORTH,2015,2015-9-25,2,25,1,32.689,-97.24073889
TEXAS,DALLAS,DALLAS,2014,2014-1-13,23,45,1,32.69278333,-96.90852778
TEXAS,DALLAS,DALLAS,2018,2018-2-26,0,1,1,32.68860556,-96.8474
